Tiempo (ms),Distancia 1 (mm),Distancia 2 (mm)
5081,21.87,32.25
5132,24.59,31.34
5183,27.32,30.43
5234,27.32,26.80
5285,25.50,21.35
5337,22.78,14.09
5388,19.14,5.00
5440,14.60,-4.08
5491,8.25,-14.07
5542,1.89,-24.97
5594,-5.38,-32.23
5645,-9.92,-35.86
5696,-15.37,-34.96
5747,-19.00,-31.32
5798,-19.91,-25.87
5850,-20.82,-21.33
5901,-21.72,-15.88
5952,-21.72,-10.44
6003,-19.91,-4.99
6054,-17.18,2.28
6107,-14.46,10.45
6158,-9.01,16.81
6209,0.07,22.26
6260,5.52,27.71
6311,11.88,30.43
6363,16.42,32.25
6414,23.69,33.16
6465,26.41,33.16
6516,27.32,31.34
6567,26.41,27.71
6619,24.59,22.26
6670,22.78,15.90
6721,20.05,7.73
6773,14.60,-2.26
6824,8.25,-13.16
6876,1.89,-23.15
6927,-5.38,-30.42
6978,-10.83,-34.05
7029,-15.37,-34.96
7080,-17.18,-30.42
7132,-19.91,-24.97
7183,-21.72,-19.52
7234,-21.72,-14.98
7285,-21.72,-9.53
7336,-19.00,-3.17
7389,-17.18,2.28
7440,-14.46,9.55
7491,-9.01,17.72
7542,-2.65,24.08
7593,2.80,28.62
7645,9.15,31.34
7696,15.51,34.07
7747,27.32,34.07
7798,25.50,32.25
7849,27.32,30.43
7901,26.41,26.80
7952,25.50,22.26
8003,23.69,14.09
8054,19.14,5.00
8107,13.70,-4.99
8158,6.43,-16.79
8209,0.07,-24.97
8260,-5.38,-32.23
8311,-10.83,-34.96
8363,-14.46,-34.05
8414,-17.18,-30.42
8465,-20.82,-27.69
8516,-20.82,-22.24
8567,-21.72,-16.79
8619,-20.82,-11.34
8670,-19.91,-5.89
8722,-18.09,-0.45
8773,-15.37,6.82
8824,-9.01,14.99
8876,-2.65,22.26
8927,3.71,27.71
8978,10.97,32.25
9029,16.42,34.97
9080,20.96,33.16
9132,25.50,32.25
9183,27.32,30.43
9234,27.32,27.71
9285,26.41,23.17
9336,21.87,16.81
9389,17.33,5.91
9440,12.79,-3.17
9491,6.43,-13.16
9542,0.98,-22.24
9593,-4.47,-32.23
9645,-9.01,-34.05
9696,-14.46,-34.05
9747,-18.09,-30.42
9798,-19.91,-25.87
9849,-21.72,-20.43
9901,-21.72,-14.98
9952,-21.72,-10.44
10004,-20.82,-5.89
10055,-18.09,0.46
10106,-15.37,8.64
10158,-8.10,15.90
10209,-1.74,24.08
10260,5.52,30.43
10311,11.88,34.07
10362,16.42,34.07
10414,20.96,34.07
10465,25.50,33.16
10517,27.32,31.34
10568,27.32,26.80
10619,24.59,20.44
10671,22.78,13.18
10722,19.14,5.00
10773,14.60,-4.99
10824,10.06,-14.07
10875,0.98,-22.24
10928,-4.47,-29.51
10979,-9.92,-34.05
11030,-14.46,-34.96
11081,-18.09,-31.32
11132,-19.91,-25.87
11184,-21.72,-22.24
11235,-22.63,-17.70
11286,-22.63,-13.16
11338,-20.82,-8.62
11389,-18.09,-1.35
11441,-14.46,7.73
11492,-7.19,15.90
11543,0.07,24.08
11594,5.52,28.62
11645,11.88,31.34
11697,16.42,34.07
11748,20.96,34.97
11800,26.41,33.16
11851,27.32,30.43
11902,26.41,26.80
11954,24.59,21.35
12005,22.78,11.36
12056,19.14,3.19
12107,16.42,-4.99
12158,11.88,-14.07
12211,4.61,-24.06
12262,-1.74,-30.42
12313,-7.19,-34.05
12364,-14.46,-34.05
12416,-18.09,-30.42
12467,-20.82,-26.78
12518,-22.63,-23.15
12569,-22.63,-17.70
12621,-21.72,-12.25
12673,-20.82,-6.80
12724,-17.18,1.37
12775,-12.64,10.45
12826,-7.19,17.72
12877,-0.84,24.08
12929,5.52,31.34
12980,12.79,33.16
13032,16.42,34.07
13083,22.78,33.16
13134,24.59,31.34
13186,25.50,28.62
13237,25.50,24.98
13288,24.59,20.44
13339,23.69,14.99
13390,20.05,7.73
13443,16.42,-3.17
13494,10.06,-12.25
13545,3.71,-21.33
13596,-1.74,-28.60
13647,-8.10,-33.14
13699,-12.64,-34.96
13750,-17.18,-34.05
13801,-20.82,-30.42
13853,-23.54,-24.97
13904,-22.63,-18.61
13956,-21.72,-12.25
14007,-19.00,-5.89
14058,-17.18,-1.35
14109,-12.64,6.82
14160,-6.28,15.90
14212,0.07,23.17
14263,6.43,29.53
14315,12.79,32.25
14366,15.51,33.16
14417,20.96,31.34
14469,24.59,30.43
14520,25.50,28.62
14571,26.41,25.89
14622,25.50,21.35
14673,23.69,14.09
14726,20.05,5.00
14777,15.51,-4.08
14828,9.15,-14.07
14879,3.71,-24.06
14930,-2.65,-30.42
14982,-9.01,-34.96
15033,-13.55,-34.96
15084,-18.09,-33.14
15136,-20.82,-28.60
15187,-22.63,-23.15
15239,-21.72,-16.79
15290,-20.82,-11.34
15341,-19.91,-6.80
15392,-17.18,1.37
15443,-11.73,8.64
15495,-6.28,16.81
15547,-0.84,24.08
15598,5.52,28.62
15649,10.97,29.53
15700,17.33,33.16
15752,21.87,32.25
15803,24.59,31.34
15854,27.32,31.34
15905,27.32,27.71
15958,25.50,22.26
16009,23.69,14.99
16060,20.05,7.73
16111,16.42,-1.35
16162,9.15,-12.25
16214,2.80,-22.24
16265,-4.47,-30.42
16316,-10.83,-34.05
16367,-14.46,-35.86
16419,-18.09,-34.05
16471,-19.91,-29.51
16522,-20.82,-24.06
16573,-22.63,-19.52
16624,-22.63,-7.71
16675,-20.82,-4.99
16727,-19.00,2.28
16778,-13.55,9.55
16830,-8.10,15.90
16881,-1.74,22.26
16932,5.52,26.80
16984,10.97,30.43
17035,16.42,32.25
17086,23.69,32.25
17137,26.41,31.34
17188,26.41,28.62
17241,26.41,25.89
17292,24.59,20.44
17343,24.59,14.99
17394,19.14,5.00
17445,13.70,-4.99
17497,7.34,-14.98
17548,1.89,-24.06
17599,-4.47,-30.42
17650,-9.92,-34.05
17702,-13.55,-34.05
17754,-16.28,-31.32
17805,-19.91,-27.69
17856,-21.72,-22.24
17907,-22.63,-17.70
17958,-21.72,-11.34
18010,-20.82,-6.80
18061,-19.00,-0.45
18113,-16.28,5.91
18164,-9.01,14.99
18215,-4.47,21.35
18267,5.52,27.71
18318,12.79,31.34
