Tiempo (s),Distancia 1 (mm),Distancia 2 (mm)
5.04,-34.81,44.16
5.16,0.35,41.56
5.29,2.86,20.78
5.41,35.52,-23.38
5.54,34.26,-53.25
5.66,27.98,-44.16
5.79,-12.21,-22.08
5.91,-41.09,-20.78
6.04,-33.56,41.56
6.16,-4.67,40.26
6.29,0.35,16.88
6.41,36.77,-25.97
6.54,34.26,-53.25
6.66,35.52,-38.96
6.79,-23.51,-9.09
6.91,-41.09,1.30
7.04,-31.05,44.16
7.16,-8.44,42.86
7.29,11.65,11.69
7.41,12.91,-31.17
7.54,35.52,-51.95
7.66,33.01,-45.45
7.79,-22.25,-19.48
7.91,-39.84,-18.18
8.04,-33.56,40.26
8.16,-3.42,44.16
8.29,34.26,18.18
8.41,40.54,-22.08
8.54,33.01,-53.25
8.66,33.01,-41.56
8.79,-13.46,-6.49
8.91,-38.58,7.79
9.04,-34.81,45.45
9.16,-9.70,40.26
9.29,5.38,41.56
9.41,5.38,-29.87
9.54,33.01,-54.55
9.66,33.01,-40.26
9.79,-17.23,-16.88
9.91,-39.84,-15.58
10.04,-32.30,42.86
10.16,-5.93,44.16
10.29,9.14,20.78
10.41,12.91,-3.90
10.54,35.52,-53.25
10.66,34.26,-45.45
10.79,-14.72,-12.99
10.91,-38.58,18.18
11.04,-34.81,45.45
11.16,-8.44,41.56
11.29,22.96,32.47
11.41,36.77,-25.97
11.54,35.52,-53.25
11.66,30.49,-42.86
11.79,-19.74,-23.38
11.91,-39.84,23.38
12.04,-33.56,45.45
12.16,-13.46,44.16
12.29,9.14,40.26
12.41,46.82,-16.88
12.54,36.77,-49.35
12.66,22.96,-42.86
12.79,-18.49,-28.57
12.91,-39.84,27.27
13.04,-34.81,45.45
13.16,-9.70,42.86
13.29,17.93,32.47
13.41,17.93,-24.68
13.54,35.52,-54.55
13.66,11.65,-42.86
13.79,-14.72,-29.87
13.91,-36.07,25.97
14.04,-36.07,45.45
14.16,-12.21,41.56
14.29,21.70,19.48
14.41,40.54,-24.68
14.54,36.77,-51.95
14.66,29.24,-36.36
14.79,-18.49,-31.17
14.91,-39.84,24.68
15.04,-34.81,42.86
15.16,-9.70,42.86
15.29,12.91,27.27
15.41,12.91,-16.88
15.54,36.77,-51.95
15.66,33.01,-46.75
15.79,-13.46,-15.58
15.91,-38.58,18.18
16.04,-32.30,45.45
16.16,-12.21,44.16
16.29,11.65,25.97
16.41,10.40,-22.08
16.54,39.28,-50.65
16.66,38.03,-44.16
16.79,-18.49,-37.66
16.91,-41.09,18.18
17.04,-36.07,42.86
17.16,-15.98,42.86
17.29,-8.44,20.78
17.41,36.77,-19.48
17.54,36.77,-49.35
17.66,35.52,-46.75
17.79,-12.21,-14.29
17.91,-38.58,27.27
18.04,-33.56,42.86
18.16,-13.46,41.56
18.29,24.21,27.27
18.41,45.56,-19.48
18.54,36.77,-49.35
18.66,31.75,-44.16
18.79,-18.49,-14.29
18.91,-42.35,18.18
19.04,-37.33,49.35
19.16,-14.72,42.86
19.29,16.68,27.27
19.41,34.26,-7.79
19.54,36.77,-46.75
19.66,34.26,-50.65
19.79,-14.72,-15.58
19.91,-39.84,29.87
20.04,-34.81,44.16
20.16,-10.95,42.86
20.29,4.12,29.87
20.41,35.52,28.57
20.54,36.77,-42.86
20.66,22.96,-45.45
20.79,-9.70,-41.56
20.91,-37.33,-41.56
21.04,-37.33,-41.56
21.16,-12.21,44.16
21.29,-5.93,36.36
21.41,45.56,-15.58
21.54,36.77,-51.95
21.66,34.26,-51.95
21.79,-15.98,-41.56
21.91,-39.84,11.69
22.04,-36.07,41.56
22.16,-12.21,40.26
22.29,12.91,25.97
22.41,35.52,20.78
22.54,39.28,-48.05
22.66,36.77,-48.05
22.79,-12.21,-22.08
22.91,-37.33,-22.08
23.04,-34.81,44.16
23.17,-14.72,42.86
23.29,19.19,25.97
23.42,40.54,-12.99
23.54,38.03,-50.65
23.67,17.93,-46.75
23.79,-17.23,-31.17
23.92,-34.81,-31.17
24.04,-38.58,44.16
24.17,-15.98,41.56
24.29,4.12,31.17
24.42,35.52,-12.99
24.54,39.28,-48.05
24.67,21.70,-49.35
24.79,19.19,-31.17
24.92,-36.07,18.18
25.04,-36.07,42.86
25.17,-32.30,44.16
25.29,21.70,35.06
25.42,33.01,-14.29
25.54,36.77,-49.35
25.67,30.49,-44.16
25.79,31.75,-33.77
25.92,-38.58,-35.06
26.04,-38.58,41.56
26.17,-14.72,42.86
26.29,-4.67,20.78
26.42,34.26,-20.78
26.54,38.03,-41.56
26.67,20.45,-50.65
26.79,-12.21,-20.78
26.92,-34.81,12.99
27.04,-36.07,41.56
27.17,-10.95,46.75
27.29,17.93,29.87
27.42,31.75,-6.49
27.54,38.03,-44.16
27.67,22.96,-48.05
27.79,-7.18,-41.56
27.92,-37.33,12.99
28.04,-34.81,45.45
28.17,-26.02,40.26
28.29,17.93,32.47
28.42,34.26,32.47
28.54,36.77,-49.35
28.67,31.75,-48.05
28.79,31.75,-20.78
28.92,-38.58,23.38
29.04,-37.33,45.45
29.17,-17.23,42.86
29.29,15.42,28.57
29.42,21.70,-9.09
29.54,40.54,-42.86
29.67,26.73,-48.05
29.79,-4.67,-27.27
29.92,-37.33,7.79
30.04,-37.33,45.45
