Tiempo (s),Distancia 1 (mm),Distancia 2 (mm)
5.04,22.67,-5.13
5.08,26.44,1.36
5.12,30.20,9.16
5.16,33.97,18.25
5.20,35.23,23.44
5.24,36.48,28.64
5.28,37.74,32.53
5.32,36.48,36.43
5.36,35.23,40.32
5.40,33.97,39.03
5.44,28.95,37.73
5.48,26.44,35.13
5.52,17.65,32.53
5.56,8.85,28.64
5.60,5.09,24.74
5.64,-3.70,18.25
5.68,-8.73,9.16
5.72,-18.78,5.26
5.76,-23.80,-1.23
5.80,-27.57,-7.73
5.84,-32.59,-14.22
5.88,-35.10,-20.71
5.92,-38.87,-23.31
5.96,-40.13,-29.81
6.00,-40.13,-31.10
6.04,-35.10,-35.00
6.08,-32.59,-37.60
6.12,-25.06,-38.90
6.16,-18.78,-37.60
6.20,-7.47,-32.40
6.24,3.83,-25.91
6.28,6.34,-20.71
6.32,13.88,-16.82
6.36,20.16,-5.13
6.40,23.93,1.36
6.44,30.20,7.86
6.48,30.20,14.35
6.52,35.23,16.95
6.56,36.48,27.34
6.60,37.74,32.53
6.64,36.48,36.43
6.68,36.48,40.32
6.72,32.72,39.03
6.76,31.46,36.43
6.80,26.44,37.73
6.84,21.41,36.43
6.88,15.13,29.93
6.92,7.60,23.44
6.96,1.32,22.14
7.00,-6.22,14.35
7.04,-16.26,10.45
7.08,-18.78,1.36
7.12,-26.31,-5.13
7.16,-30.08,-10.32
7.20,-35.10,-18.12
7.24,-40.13,-23.31
7.28,-40.13,-28.51
7.32,-40.13,-33.70
7.36,-36.36,-33.70
7.40,-31.33,-37.60
7.44,-25.06,-37.60
7.48,-20.03,-37.60
7.52,-11.24,-33.70
7.56,-6.22,-31.10
7.60,3.83,-23.31
7.64,12.62,-16.82
7.68,16.39,-12.92
7.72,22.67,-1.23
7.76,26.44,2.66
7.80,31.46,14.35
7.84,35.23,20.84
7.88,35.23,26.04
7.92,36.48,32.53
7.96,37.74,35.13
8.00,35.23,37.73
8.04,32.72,37.73
8.08,32.72,40.32
8.12,27.69,36.43
8.16,25.18,35.13
8.20,16.39,31.23
8.24,16.39,26.04
8.28,5.09,23.44
8.32,-6.22,16.95
8.36,-9.98,9.16
8.40,-20.03,5.26
8.44,-26.31,-3.83
8.48,-28.82,-7.73
8.52,-32.59,-16.82
8.56,-35.10,-23.31
8.60,-37.61,-24.61
8.64,-40.13,-28.51
8.68,-36.36,-32.40
8.72,-31.33,-35.00
8.76,-28.82,-37.60
8.80,-21.29,-38.90
8.84,-18.78,-36.30
8.88,-7.47,-35.00
8.92,2.57,-28.51
8.96,7.60,-20.71
9.00,16.39,-15.52
9.04,18.90,-5.13
9.08,26.44,0.06
9.12,30.20,7.86
9.16,33.97,18.25
9.20,35.23,20.84
9.24,36.48,28.64
9.28,39.00,33.83
9.32,36.48,36.43
9.36,36.48,39.03
9.40,33.97,39.03
9.44,31.46,36.43
9.48,26.44,36.43
9.52,17.65,32.53
9.56,15.13,29.93
9.60,5.09,26.04
9.64,0.06,16.95
9.68,-9.98,11.75
9.72,-18.78,7.86
9.76,-20.03,0.06
9.80,-27.57,-3.83
9.84,-30.08,-12.92
9.88,-35.10,-19.42
9.92,-38.87,-23.31
9.96,-38.87,-27.21
10.00,-38.87,-33.70
10.04,-36.36,-33.70
10.08,-31.33,-37.60
10.12,-22.54,-40.19
10.16,-18.78,-37.60
10.20,-7.47,-32.40
10.24,-3.70,-28.51
