Tiempo (s),Distancia 1 (mm),Distancia 2 (mm)
90.55,17.78,5.78
90.68,19.17,-10.86
90.80,17.78,-26.11
90.93,15.01,-33.05
91.05,5.32,-28.89
90.43,12.24,18.26
90.55,17.78,5.78
90.68,19.17,-10.86
90.80,17.78,-26.11
90.93,15.01,-33.05
91.05,5.32,-28.89
5.04,-27.88,-2.63
5.16,-38.96,14.01
5.29,-41.73,25.10
5.41,-37.57,23.71
5.54,-23.73,25.10
5.66,-5.73,22.33
5.79,9.50,15.39
5.91,10.89,1.53
6.04,10.89,-15.12
6.16,10.89,-27.60
6.29,8.12,-34.53
6.41,-1.57,-27.60
6.54,-18.19,-16.50
6.66,-32.04,0.14
6.79,-40.34,19.55
6.91,-43.11,25.10
7.04,-34.81,25.10
7.16,-18.19,23.71
7.29,-0.19,20.94
7.41,9.50,11.23
7.54,12.27,-4.02
7.66,13.66,-19.28
7.79,10.89,-28.98
7.91,6.74,-34.53
8.04,-1.57,-23.44
8.16,-18.19,-13.73
8.29,-32.04,5.69
8.41,-40.34,20.94
8.54,-40.34,26.49
8.66,-33.42,25.10
8.79,-14.03,25.10
8.91,2.58,20.94
9.04,10.89,8.46
9.16,13.66,-2.63
9.29,13.66,-17.89
9.41,12.27,-30.37
9.54,5.35,-33.14
9.66,-1.57,-22.05
9.79,-19.57,-9.57
9.91,-33.42,8.46
10.04,-43.11,20.94
10.16,-38.96,30.65
10.29,-30.65,26.49
10.41,-11.27,23.71
10.54,2.58,18.17
10.66,10.89,8.46
10.79,12.27,-9.57
10.91,12.27,-23.44
11.04,9.50,-33.14
11.16,3.97,-31.76
11.29,-9.88,-20.66
11.41,-26.50,-8.18
11.54,-38.96,8.46
11.66,-41.73,23.71
11.79,-40.34,26.49
11.91,-29.27,26.49
12.04,-11.27,20.94
12.16,5.35,15.39
12.29,10.89,2.91
12.41,12.27,-10.96
12.54,10.89,-24.82
12.66,9.50,-33.14
12.79,2.58,-30.37
12.91,-11.27,-17.89
13.04,-29.27,-1.25
13.16,-40.34,14.01
13.29,-41.73,22.33
13.41,-37.57,27.87
13.54,-23.73,25.10
13.66,-2.96,22.33
13.79,6.74,15.39
13.91,12.27,7.07
14.04,12.27,-10.96
14.16,13.66,-24.82
14.29,10.89,-31.76
14.41,3.97,-27.60
14.54,-12.65,-16.50
14.66,-29.27,0.14
14.79,-37.57,16.78
14.91,-40.34,26.49
15.04,-36.19,27.87
15.16,-19.57,25.10
15.29,-1.57,22.33
15.41,10.89,14.01
15.54,13.66,0.14
15.66,10.89,-16.50
15.79,12.27,-28.98
15.91,8.12,-35.92
16.04,-0.19,-26.21
16.16,-16.80,-12.34
16.29,-32.04,4.30
16.41,-40.34,18.17
16.54,-40.34,27.87
16.66,-36.19,25.10
16.79,-16.80,25.10
16.91,-0.19,18.17
17.04,10.89,11.23
17.16,10.89,-4.02
17.29,12.27,-22.05
17.41,10.89,-30.37
17.54,5.35,-33.14
17.66,-5.73,-24.82
17.79,-22.34,-12.34
17.91,-37.57,2.91
18.04,-40.34,20.94
18.16,-41.73,27.87
18.29,-32.04,27.87
18.41,-14.03,23.71
18.54,2.58,19.55
18.66,10.89,9.85
18.79,12.27,-4.02
18.91,12.27,-20.66
19.04,12.27,-31.76
19.16,6.74,-33.14
19.29,-5.73,-20.66
19.41,-23.73,-6.80
19.54,-37.57,9.85
19.66,-40.34,23.71
19.79,-38.96,27.87
19.91,-26.50,27.87
20.04,-11.27,23.71
20.16,5.35,19.55
20.29,12.27,7.07
20.41,13.66,-8.18
20.54,13.66,-23.44
20.66,10.89,-33.14
20.79,3.97,-30.37
20.91,-8.50,-17.89
21.04,-26.50,-4.02
21.16,-37.57,14.01
21.29,-43.11,22.33
21.41,-38.96,26.49
21.54,-27.88,23.71
21.66,-5.73,20.94
21.79,8.12,12.62
21.91,12.27,5.69
22.04,10.89,-10.96
22.16,12.27,-24.82
22.29,9.50,-34.53
22.41,2.58,-30.37
22.54,-12.65,-20.66
22.66,-29.27,-2.63
22.79,-40.34,11.23
22.91,-41.73,25.10
23.04,-37.57,27.87
23.17,-22.34,26.49
23.29,-2.96,20.94
23.42,9.50,15.39
23.54,12.27,2.91
23.67,12.27,-12.34
23.79,10.89,-28.98
23.92,8.12,-33.14
24.04,-1.57,-27.60
24.17,-18.19,-15.12
24.29,-30.65,2.91
24.42,-38.96,18.17
24.54,-41.73,26.49
24.67,-36.19,29.26
24.79,-19.57,26.49
24.92,-1.57,20.94
25.04,10.89,14.01
25.17,13.66,-1.25
25.29,13.66,-16.50
25.42,10.89,-28.98
25.54,9.50,-31.76
25.67,-2.96,-24.82
25.79,-18.19,-9.57
25.92,-34.81,5.69
26.04,-40.34,20.94
26.17,-40.34,30.65
26.29,-33.42,27.87
26.42,-18.19,23.71
26.54,-0.19,19.55
26.67,9.50,9.85
26.79,13.66,-1.25
26.92,12.27,-20.66
27.04,9.50,-30.37
27.17,5.35,-34.53
27.29,-5.73,-24.82
27.42,-22.34,-10.96
27.54,-34.81,5.69
27.67,-41.73,20.94
27.79,-40.34,26.49
27.92,-30.65,26.49
28.04,-11.27,22.33
28.17,3.97,15.39
28.29,10.89,8.46
28.42,12.27,-6.80
28.54,12.27,-23.44
28.67,10.89,-31.76
28.79,6.74,-31.76
28.92,-7.11,-20.66
29.04,-23.73,-5.41
29.17,-36.19,12.62
29.29,-41.73,25.10
29.42,-37.57,29.26
29.54,-25.11,26.49
29.67,-7.11,23.71
29.79,5.35,18.17
29.92,13.66,18.17
30.04,13.66,-12.34
30.17,10.89,-26.21
30.29,8.12,-33.14
30.42,1.20,-30.37
30.54,-14.03,-19.28
30.67,-26.50,-2.63
30.79,-38.96,12.62
30.92,-43.11,23.71
31.04,-38.96,25.10
31.17,-25.11,25.10
