Tiempo (s),Distancia 1 (mm),Distancia 2 (mm)
5.04,28.52,-33.38
5.16,-0.36,-2.21
5.29,-34.27,27.66
5.41,-45.58,36.75
5.54,-25.48,26.36
5.66,2.15,-0.91
5.79,27.27,-34.67
5.91,36.06,-51.56
6.04,24.75,-26.88
6.16,-12.92,4.29
6.29,-40.55,32.86
6.41,-43.07,34.16
6.54,-17.95,23.77
6.66,8.43,-10.00
6.79,31.03,-41.17
6.91,34.80,-47.66
7.04,17.22,-20.39
7.16,-11.67,10.78
7.29,-22.97,36.75
7.41,-40.55,31.56
7.54,-11.67,17.27
7.66,17.22,-13.90
7.79,34.80,-13.90
7.91,32.29,-45.06
8.04,17.22,-12.60
8.16,-17.95,17.27
8.29,-17.95,39.35
8.41,-34.27,28.96
8.54,-4.13,6.88
8.66,19.73,-8.70
8.79,38.57,-8.70
8.91,31.03,-39.87
9.04,7.17,-3.51
9.16,-33.02,23.77
9.29,-46.83,34.16
9.41,-25.48,27.66
9.54,0.89,-0.91
9.66,27.27,-19.09
9.79,37.31,-16.49
9.91,29.78,-34.67
10.04,-4.13,1.69
10.16,-38.04,31.56
10.29,-44.32,35.45
10.41,-20.46,21.17
10.54,10.94,-8.70
10.66,33.55,-8.70
10.79,38.57,-47.66
10.91,24.75,-28.18
11.04,-10.41,5.58
11.16,-41.81,32.86
11.29,-39.30,34.16
11.41,-14.18,17.27
11.54,17.22,-7.40
11.66,36.06,427.66
11.79,36.06,-43.77
11.91,17.22,-11.30
12.04,-22.97,17.27
12.16,-46.83,32.86
12.29,-30.51,34.16
12.41,-5.39,12.08
12.54,17.22,-3.51
12.66,37.31,430.26
12.79,32.29,-39.87
12.91,7.17,-4.80
13.04,-29.25,25.07
13.16,-46.83,36.75
13.29,-24.23,26.36
13.41,-2.88,5.58
13.54,23.50,-6.10
13.66,34.80,-7.40
13.79,28.52,-35.97
13.91,-4.13,4.29
14.04,-2.88,27.66
14.16,-44.32,36.75
14.29,-25.48,23.77
14.41,5.92,0.39
14.54,27.27,-0.91
14.66,37.31,-51.56
14.79,27.27,-28.18
14.91,-17.95,4.29
15.04,-44.32,28.96
15.16,-41.81,34.16
15.29,-16.69,19.87
15.41,9.68,-0.91
15.54,32.29,0.39
15.66,36.06,-42.47
15.79,17.22,-21.69
15.91,-22.97,10.78
16.04,-44.32,36.75
16.16,-35.53,31.56
16.29,-10.41,10.78
16.41,18.47,-6.10
16.54,36.06,-4.80
16.66,31.03,-39.87
16.79,7.17,-8.70
16.91,-25.48,18.57
17.04,-48.09,38.05
17.16,-30.51,30.26
17.29,-1.62,6.88
17.41,22.24,-25.58
17.54,37.31,-48.96
17.66,31.03,-34.67
17.79,4.66,-2.21
17.91,-35.53,28.96
18.04,-46.83,38.05
18.16,-21.71,27.66
18.29,2.15,-2.21
18.41,28.52,-6.10
18.54,37.31,-50.26
18.66,29.78,-26.88
18.79,-4.13,4.29
18.91,-36.79,32.86
19.04,-41.81,34.16
19.16,-19.20,22.47
19.29,12.19,6.88
19.41,32.29,431.56
19.54,33.55,428.96
19.66,23.50,-21.69
19.79,9.68,9.48
19.91,-45.58,35.45
20.04,-39.30,30.26
20.16,-9.16,14.68
20.29,18.47,1.69
20.41,31.03,1.69
20.54,34.80,-46.36
20.66,15.96,-11.30
20.79,-26.74,14.68
20.91,-45.58,38.05
21.04,-30.51,31.56
21.16,-2.88,9.48
21.29,18.47,-0.91
21.41,38.57,-46.36
21.54,32.29,-35.97
21.66,3.40,-8.70
21.79,-35.53,22.47
21.91,-45.58,39.35
22.04,-24.23,27.66
22.16,-0.36,8.18
22.29,24.75,428.96
22.41,36.06,430.26
22.54,27.27,-32.08
22.66,-5.39,1.69
22.79,-41.81,31.56
22.91,-41.81,39.35
23.04,-21.71,23.77
23.17,7.17,-4.80
23.29,27.27,-6.10
23.42,36.06,-48.96
23.54,23.50,-22.99
23.67,-17.95,9.48
23.79,-45.58,32.86
23.92,-34.27,34.16
24.04,-15.44,21.17
24.17,12.19,-12.60
24.29,34.80,-45.06
24.42,34.80,-43.77
24.54,12.19,-15.19
24.67,-25.48,15.97
24.79,-45.58,38.05
24.92,-36.79,31.56
25.04,-9.16,10.78
25.17,20.99,-11.30
25.29,34.80,-41.17
25.42,31.03,-39.87
25.54,7.17,-8.70
25.67,-26.74,23.77
25.79,-48.09,38.05
25.92,-29.25,27.66
26.04,-1.62,13.38
26.17,27.27,15.97
