Tiempo (s),Distancia 1 (mm),Distancia 2 (mm)
67.56,17.58,-42.70
67.60,0.00,-34.91
67.64,-6.28,-34.91
67.68,-13.81,-33.61
67.72,-25.12,-34.91
67.76,-27.63,20.94
5.04,32.45,-48.17
5.08,27.43,-50.77
5.12,22.41,-50.77
5.16,11.10,-49.47
5.20,-1.46,-49.47
5.24,-7.74,-49.47
5.28,-20.30,-49.47
5.32,-22.81,-5.31
5.36,-34.11,12.87
5.40,-39.13,21.96
5.44,-44.16,34.95
5.48,-44.16,36.25
5.52,-40.39,44.04
5.56,-35.37,42.74
5.60,-25.32,45.34
5.64,-16.53,41.44
5.68,-10.25,42.74
5.72,6.08,32.35
5.76,4.82,25.86
5.80,19.89,16.77
5.84,27.43,8.97
5.88,36.22,-6.61
5.92,45.01,-7.91
5.96,36.22,-6.61
6.00,34.96,-46.87
6.04,32.45,-41.68
6.08,26.17,-52.06
6.12,19.89,-52.06
6.16,11.10,-48.17
6.20,11.10,-35.18
6.24,11.10,-26.09
6.28,11.10,-1.42
6.32,-26.57,-2.71
6.36,-36.62,6.38
6.40,-40.39,20.66
6.44,-45.41,33.65
6.48,-45.41,37.55
6.52,-39.13,41.44
6.56,-32.85,41.44
6.60,-27.83,41.44
6.64,-20.30,40.14
6.68,-11.50,37.55
6.72,-11.50,31.05
6.76,-10.25,27.16
6.80,-11.50,15.47
6.84,-10.25,10.27
6.88,-10.25,-5.31
6.92,-11.50,-19.60
6.96,38.73,-31.29
7.00,37.48,-35.18
7.04,31.20,-37.78
7.08,28.68,-53.36
7.12,19.89,-52.06
7.16,8.59,-44.27
7.20,2.31,-32.58
7.24,-14.02,-24.79
7.28,-10.25,-11.81
7.32,-27.83,-5.31
7.36,-29.09,14.17
7.40,-41.65,24.56
7.44,-42.90,34.95
7.48,-45.41,36.25
7.52,-36.62,41.44
7.56,-35.37,45.34
7.60,-25.32,42.74
7.64,-19.04,40.14
7.68,-10.25,41.44
7.72,-0.20,34.95
7.76,11.10,25.86
7.80,19.89,15.47
7.84,32.45,3.78
7.88,33.71,-5.31
7.92,41.24,-24.79
7.96,37.48,-22.19
8.00,39.99,-36.48
8.04,32.45,-41.68
8.08,31.20,-53.36
8.12,21.15,-49.47
8.16,12.36,-45.57
8.20,2.31,-37.78
8.24,-5.22,-28.69
8.28,-17.78,-19.60
8.32,-27.83,-19.60
8.36,-34.11,-19.60
8.40,-42.90,27.16
8.44,-41.65,40.14
8.48,-45.41,38.84
8.52,-41.65,42.74
8.56,-35.37,44.04
8.60,-30.34,42.74
8.64,-20.30,46.64
8.68,-14.02,37.55
8.72,-0.20,31.05
8.76,12.36,27.16
8.80,21.15,15.47
8.84,22.41,1.18
8.88,19.89,-5.31
8.92,22.41,-23.49
8.96,22.41,-26.09
9.00,34.96,-35.18
9.04,33.71,-50.77
9.08,26.17,-53.36
9.12,19.89,-48.17
9.16,11.10,-48.17
9.20,-0.20,-37.78
9.24,-6.48,-28.69
9.28,-12.76,-10.51
9.32,-25.32,-0.12
9.36,-35.37,11.57
9.40,-39.13,16.77
9.44,-45.41,31.05
9.48,-44.16,40.14
9.52,-42.90,41.44
9.56,-34.11,42.74
9.60,-26.57,42.74
9.64,-17.78,37.55
9.68,-11.50,37.55
9.72,3.57,29.75
9.76,11.10,27.16
9.80,16.13,10.27
9.84,24.92,-1.42
9.88,32.45,-1.42
9.92,37.48,-26.09
9.96,38.73,-31.29
10.00,34.96,-41.68
10.04,33.71,-48.17
10.08,27.43,-50.77
10.12,21.15,-49.47
10.16,11.10,-46.87
10.20,3.57,-36.48
10.24,-7.74,-26.09
10.28,-21.55,-27.39
10.32,-26.57,-27.39
10.36,-36.62,-27.39
10.40,-40.39,23.26
10.44,-44.16,38.84
10.48,-44.16,41.44
10.52,-39.13,41.44
10.56,-32.85,42.74
10.60,-27.83,44.04
10.64,-21.55,40.14
10.68,-11.50,40.14
10.72,4.82,31.05
10.76,4.82,25.86
10.80,4.82,19.36
10.84,4.82,8.97
10.88,41.24,8.97
10.92,36.22,10.27
10.96,38.73,8.97
11.00,36.22,-39.08
11.04,31.20,-53.36
11.08,26.17,-52.06
11.12,27.43,-50.77
11.16,24.92,-46.87
11.20,26.17,-39.08
11.24,-11.50,-29.99
11.28,-16.53,-29.99
11.32,-27.83,-31.29
11.36,-34.11,-29.99
11.40,-41.65,-29.99
11.44,-42.90,-29.99
11.48,-44.16,38.84
11.52,-40.39,41.44
11.56,-35.37,42.74
11.60,-27.83,44.04
11.64,-22.81,41.44
11.68,-11.50,37.55
11.72,-0.20,31.05
11.76,12.36,24.56
11.80,12.36,24.56
11.84,12.36,24.56
11.88,11.10,23.26
11.92,11.10,-23.49
11.96,36.22,-32.58
12.00,36.22,-42.97
12.04,31.20,-53.36
12.08,28.68,-53.36
12.12,19.89,-52.06
12.16,13.61,-48.17
12.20,1.05,-36.48
12.24,-12.76,-29.99
12.28,-19.04,-19.60
12.32,-30.34,-19.60
12.36,-34.11,-19.60
12.40,-41.65,-19.60
12.44,-41.65,-19.60
12.48,-44.16,42.74
12.52,-42.90,37.55
12.56,-35.37,41.44
12.60,-26.57,40.14
12.64,-19.04,41.44
12.68,-6.48,36.25
12.72,-1.46,33.65
12.76,11.10,21.96
12.80,12.36,21.96
12.84,11.10,12.87
12.88,11.10,12.87
12.92,37.48,12.87
12.96,37.48,12.87
13.00,37.48,-46.87
13.04,31.20,-52.06
13.08,29.94,-55.96
13.12,21.15,-52.06
13.16,11.10,-49.47
13.20,-2.71,-35.18
13.24,-5.22,-19.60
13.28,-20.30,-9.21
13.32,-24.06,-10.51
13.36,-34.11,-10.51
13.40,-40.39,-11.81
13.44,-41.65,-10.51
13.48,-42.90,38.84
13.52,-40.39,44.04
13.56,-32.85,42.74
13.60,-27.83,40.14
